Customer ID,Name,Email,Age,Gender,Signup Date,Source,Loyalty Tier
1,Melanie Bates,deborah49@jones.com,65,Female,2025-05-12,Organic,Silver
2,James Anderson,shane03@brown.com,28,Male,2024-09-14,Referral,Bronze
3,Mrs. Patricia Jones,jack50@hale.com,41,Female,2023-12-27,Ads,Gold
4,Kerry Smith,smithshelby@hotmail.com,44,Female,2024-04-14,Referral,Bronze
5,Cody Lopez,marshallgrace@horton.com,34,Female,2024-10-22,Ads,Gold
6,Miss Jennifer Hicks DDS,michaeledwards@hart.com,39,Female,2025-06-04,Organic,Silver
7,Dr. Jessica Morris,tim16@yahoo.com,44,Male,2024-05-20,Ads,Platinum
8,William Montgomery,shawn60@gmail.com,18,Female,2023-11-11,Social,Platinum
9,Haley Walker,hollowayjennifer@hotmail.com,52,Female,2024-03-26,Referral,Silver
10,Tyler Chandler,justinjames@yahoo.com,59,Male,2025-11-10,Social,Platinum
11,Lori Clayton,samantha75@hotmail.com,30,Male,2024-09-23,Ads,Platinum
12,Juan Murray,oliverrachel@shelton-smith.com,20,Male,2023-09-28,Referral,Silver
13,Jennifer Lee,maria91@fisher.com,43,Female,2024-10-27,Referral,Platinum
14,Diamond Moore,powellmelissa@wilkinson.org,54,Male,2023-02-19,Referral,Silver
15,Amber Mcdonald,jmitchell@evans-mathews.com,27,Male,2025-09-07,Social,Gold
16,Kathryn Smith,barbara40@walker-keller.com,39,Male,2023-05-29,Social,Bronze
17,Andrea Gordon,mcdowelltimothy@yahoo.com,47,Male,2025-03-28,Social,Platinum
18,Brian Hoffman,matthew22@freeman.com,19,Male,2024-09-16,Ads,Bronze
19,Philip Parsons,paullewis@yahoo.com,29,Male,2025-12-18,Organic,Silver
20,Christy Robles,floresethan@gmail.com,55,Male,2024-06-05,Ads,Gold
21,Jesse Dunn,victoriahunter@diaz.info,57,Male,2023-12-24,Social,Platinum
22,Glenn Carson,melissa58@bennett-tanner.com,56,Female,2023-08-31,Referral,Bronze
23,Dr. Michael Larsen,thobbs@li-pena.com,42,Male,2025-11-21,Organic,Silver
24,Taylor Collins,lisajohnson@hotmail.com,61,Male,2023-09-22,Referral,Bronze
25,Scott Hernandez,millerchase@hudson.com,65,Male,2025-02-17,Social,Silver
26,Frank Mcdowell,christinemorgan@barton.biz,25,Male,2023-07-12,Ads,Silver
27,Taylor Webster,maureen00@spears.net,19,Female,2023-06-10,Organic,Silver
28,Gail Oliver,annettemartinez@gmail.com,29,Female,2024-08-18,Organic,Bronze
29,Stephanie Stout,danny81@jones-peters.com,53,Male,2024-01-14,Referral,Silver
30,Carlos Morgan,paul66@yahoo.com,59,Female,2023-09-25,Social,Gold
31,Michael Maynard,tina97@hotmail.com,29,Female,2025-09-09,Organic,Gold
32,Gregory Oconnor,dennis36@sandoval.com,36,Female,2025-08-01,Social,Platinum
33,Daniel Smith,breanna65@knox.info,28,Male,2023-12-14,Organic,Platinum
34,Debra Collins,michael87@vazquez.org,30,Male,2023-12-10,Referral,Bronze
35,Tami Newton,wyattbailey@campbell.biz,23,Male,2023-11-18,Social,Bronze
36,Madison Jackson,caleb15@yahoo.com,36,Female,2024-07-18,Social,Platinum
37,Paul Roy,uarmstrong@quinn-alexander.info,41,Female,2023-11-28,Referral,Gold
38,Mark Aguirre,grantjohn@yahoo.com,49,Female,2023-04-07,Organic,Platinum
39,Holly Smith,stevewilliamson@stewart.info,62,Male,2024-06-30,Social,Gold
40,Darrell Murray,cookrichard@hotmail.com,46,Male,2023-01-08,Ads,Gold
41,Latoya Hardy,mary61@miller.info,29,Female,2024-08-18,Social,Silver
42,Travis Walker,robertvelazquez@gmail.com,46,Female,2024-10-26,Ads,Platinum
43,Robert Lee,glassmichael@baker-jones.com,49,Female,2025-01-23,Organic,Platinum
44,Vernon Dixon,jameshernandez@perez-gonzales.org,18,Female,2025-11-10,Social,Gold
45,Theresa Barnes,bryantlatoya@yahoo.com,48,Female,2025-09-26,Social,Bronze
46,Kimberly Johnson,yolandali@williams.com,45,Male,2025-07-20,Referral,Platinum
47,David James,johnsonronnie@gmail.com,27,Female,2023-12-15,Referral,Platinum
48,Jennifer Miller,stricklandjoseph@yahoo.com,51,Male,2023-07-11,Referral,Silver
49,Jason Alvarado,edward49@hotmail.com,43,Male,2024-05-05,Social,Gold
50,Randy Peterson,zachary79@gmail.com,25,Female,2025-11-01,Organic,Bronze
51,Tracy Weaver,jeromecarr@singh.net,39,Male,2023-12-01,Social,Bronze
52,Michael Hurley,crawfordmelissa@yahoo.com,59,Female,2025-10-25,Organic,Gold
53,James Haley,rwatson@gmail.com,42,Female,2023-05-20,Organic,Silver
54,Brittany Morgan,schultzjeffery@ramirez-kim.com,22,Female,2024-11-03,Social,Gold
55,Belinda Jackson,jbrown@yahoo.com,48,Female,2023-04-02,Organic,Silver
56,Lori Escobar,waltonamanda@gmail.com,47,Male,2025-02-19,Organic,Silver
57,John Fox,coxjoseph@wiley-miller.com,34,Male,2024-08-06,Ads,Silver
58,Mark Wilson,bmorgan@hotmail.com,41,Female,2025-08-10,Organic,Platinum
